Date,NAV
2016-12-20,12.30330
2016-12-21,12.30550
2016-12-22,12.30760
2016-12-23,12.30980
2016-12-26,12.31580
2016-12-27,12.31720
2016-12-28,12.31870
2016-12-29,12.32160
2016-12-30,12.32410
2017-01-02,12.33200
2017-01-03,12.33590
2017-01-04,12.33870
2017-01-05,12.34140
2017-01-06,12.34370
2017-01-09,12.35010
2017-01-10,12.35200
2017-01-11,12.35360
2017-01-12,12.35570
2017-01-13,12.35710
2017-01-16,12.36430
2017-01-17,12.36630
2017-01-18,12.36940
2017-01-19,12.37240
2017-01-20,12.37500
2017-01-23,12.38190
2017-01-24,12.38430
2017-01-25,12.38670
2017-01-27,12.39140
2017-01-30,12.39880
2017-01-31,12.40170
2017-02-01,12.40500
2017-02-02,12.40770
2017-02-03,12.41060
2017-02-06,12.41810
2017-02-07,12.42040
2017-02-08,12.41730
2017-02-09,12.41990
2017-02-10,12.42340
2017-02-13,12.43140
2017-02-14,12.43420
2017-02-15,12.43650
2017-02-16,12.43930
2017-02-17,12.44180
2017-02-20,12.44790
2017-02-22,12.45300
2017-02-23,12.45550
2017-02-27,12.46560
2017-02-28,12.46870
2017-03-01,12.47130
2017-03-02,12.47400
2017-03-03,12.47640
2017-03-06,12.48310
2017-03-07,12.48530
2017-03-08,12.48780
2017-03-09,12.48990
2017-03-10,12.49160
2017-03-14,12.50130
2017-03-15,12.50370
2017-03-16,12.50570
2017-03-17,12.50790
2017-03-20,12.51500
2017-03-21,12.51770
2017-03-22,12.52010
2017-03-23,12.52260
2017-03-24,12.52460
2017-03-27,12.53160
2017-03-29,12.53600
2017-03-30,12.53850
2017-03-31,12.54200
2017-04-03,12.54920
2017-04-05,12.55440
2017-04-06,12.55620
2017-04-07,12.55830
2017-04-10,12.56570
2017-04-11,12.56830
2017-04-12,12.57080
2017-04-13,12.57310
2017-04-17,12.58230
2017-04-18,12.58470
2017-04-19,12.58680
2017-04-20,12.58910
2017-04-21,12.59140
2017-04-24,12.59830
2017-04-25,12.60050
2017-04-26,12.60280
2017-04-27,12.60500
2017-04-28,12.60730
2017-05-02,12.61650
2017-05-03,12.61870
2017-05-04,12.62090
2017-05-05,12.62320
2017-05-08,12.62990
2017-05-09,12.63210
2017-05-11,12.63660
2017-05-12,12.63890
2017-05-15,12.64580
2017-05-16,12.64820
2017-05-17,12.65050
2017-05-18,12.65280
2017-05-19,12.65520
2017-05-22,12.66190
2017-05-23,12.66430
2017-05-24,12.66660
2017-05-25,12.66880
2017-05-26,12.67110
2017-05-29,12.67790
2017-05-30,12.68020
2017-05-31,12.68250
2017-06-01,12.68480
2017-06-02,12.68710
2017-06-05,12.69390
2017-06-06,12.69610
2017-06-07,12.69840
2017-06-08,12.70070
2017-06-09,12.70300
2017-06-12,12.70980
2017-06-13,12.71210
2017-06-14,12.71440
2017-06-15,12.71660
2017-06-16,12.71880
2017-06-19,12.72550
2017-06-20,12.72770
2017-06-21,12.72990
2017-06-22,12.73210
2017-06-23,12.73420
2017-06-27,12.74280
2017-06-28,12.74500
2017-06-29,12.74720
2017-06-30,12.74940
2017-07-03,12.75600
2017-07-04,12.75820
2017-07-05,12.76040
2017-07-06,12.76250
2017-07-07,12.76430
2017-07-10,12.77010
